City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
Ahipara,-35.1667,173.1667,67.98,82,68,4.9,NZ,1615609054
Bredasdorp,-34.5322,20.0403,51.8,93,45,1.14,ZA,1615609055
Cape Town,-33.9258,18.4232,61.0,94,0,10.36,ZA,1615609055
Busselton,-33.65,115.3333,70.0,50,0,1.99,AU,1615609055
Qaanaaq,77.484,-69.3632,-0.35,75,99,4.12,GL,1615609055
Ushuaia,-54.8,-68.3,41.0,93,75,33.38,AR,1615608818
Dikson,73.5069,80.5464,-12.78,90,100,24.09,RU,1615608920
Albany,42.6001,-73.9662,35.01,44,20,32.21,US,1615608907
Leningradskiy,69.3833,178.4167,18.7,82,100,9.75,RU,1615608937
Castro,-24.7911,-50.0119,60.04,91,21,3.44,BR,1615609056
Tessalit,20.1986,1.0114,58.23,44,34,6.2,ML,1615609056
Beringovskiy,63.05,179.3167,32.05,85,92,24.38,RU,1615609056
Grindavik,63.8424,-22.4338,30.2,74,40,19.57,IS,1615609057
Butaritari,3.0707,172.7902,81.46,76,63,10.58,KI,1615609057
Yellowknife,62.456,-114.3525,0.0,71,1,10.36,CA,1615609057
Anáhuac,27.2333,-100.15,73.6,76,96,26.6,MX,1615609058
Chifeng,42.2683,118.9636,47.86,41,30,6.24,CN,1615609058
Faanui,-16.4833,-151.75,83.35,63,64,0.96,PF,1615608954
Rikitea,-23.1203,-134.9692,80.04,74,94,8.03,PF,1615609058
Rock Sound,24.9,-76.2,71.49,72,0,19.15,BS,1615608784
Berdigestyakh,62.0989,126.6992,11.41,93,99,4.97,RU,1615609037
Upernavik,72.7868,-56.1549,-2.31,65,20,1.86,GL,1615608790
Kiryat Gat,31.61,34.7642,51.01,100,18,3.0,IL,1615609059
Saint-Philippe,-21.3585,55.7679,80.01,78,75,13.8,RE,1615609059
Fare,-16.7,-151.0167,83.19,67,55,4.07,PF,1615608950
Hamilton,39.1834,-84.5333,51.01,40,90,11.5,US,1615609034
Kapaa,22.0752,-159.319,75.99,94,90,6.91,US,1615609059
Cherskiy,68.75,161.3,-6.83,92,93,16.37,RU,1615609060
Airai,-8.9266,125.4092,70.81,83,92,0.54,TL,1615609060
Iskateley,67.6803,53.1512,13.62,90,100,16.71,RU,1615609060
Tocopilla,-22.092,-70.1979,68.14,82,5,3.36,CL,1615609060
Tasiilaq,65.6145,-37.6368,10.4,92,63,4.61,GL,1615608916
Lompoc,34.6391,-120.4579,48.2,87,75,6.55,US,1615609061
Camacupa,-12.0167,17.4833,60.84,95,99,1.1,AO,1615609061
Yangi Marg`ilon,40.4272,71.7189,48.2,76,100,4.61,UZ,1615609061
Hithadhoo,-0.6,73.0833,83.43,63,9,6.06,MV,1615609002
Mataura,-46.1927,168.8643,64.99,70,0,5.99,NZ,1615609062
Altamont,42.2068,-121.7372,39.99,30,1,3.44,US,1615609031
Saint George,37.1041,-113.5841,39.0,93,90,6.91,US,1615608976
Puerto Ayora,-0.7393,-90.3518,75.99,92,3,4.94,EC,1615609062
Avarua,-21.2078,-159.775,80.6,89,90,2.3,CK,1615608917
Walvis Bay,-22.9575,14.5053,57.2,94,0,2.3,NA,1615609062
Muscat,23.6139,58.5922,91.4,12,28,23.02,OM,1615609063
Saskylakh,71.9167,114.0833,-16.35,90,9,16.75,RU,1615609063
San Vicente,-26.6167,-54.1333,60.3,74,0,2.95,AR,1615609063
São João da Barra,-21.6403,-41.0511,76.15,91,89,0.47,BR,1615609063
Horizontina,-27.6258,-54.3078,58.89,80,0,2.48,BR,1615609064
Helong,42.5397,128.9972,48.34,67,99,3.04,CN,1615609064
Baghdad,33.3406,44.4009,46.4,49,0,6.91,IQ,1615608903
Mahibadhoo,3.7833,72.9667,83.52,72,57,12.8,MV,1615609064
Anlu,31.1661,112.5831,63.61,60,83,1.21,CN,1615609064
Mar del Plata,-38.0023,-57.5575,64.99,87,0,8.52,AR,1615609065
Katsuura,35.1333,140.3,60.8,88,75,16.11,JP,1615609022
Abhā,18.2164,42.5053,57.2,71,0,8.08,SA,1615608807
Norman Wells,65.282,-126.8329,-4.0,65,75,11.5,CA,1615609066
Adrar,20.5022,-10.0711,60.15,18,56,9.78,MR,1615609067
Nikolskoye,59.7035,30.7861,35.6,87,90,11.18,RU,1615609067
Vilhena,-12.7406,-60.1458,67.91,97,97,1.45,BR,1615609067
Mahébourg,-20.4081,57.7,82.4,69,40,11.5,MU,1615609067
Atar,20.5169,-13.0499,61.21,20,46,8.05,MR,1615608982
Te Anau,-45.4167,167.7167,67.77,48,0,7.56,NZ,1615609068
Bluff,-46.6,168.3333,64.99,70,0,5.99,NZ,1615609068
Tuktoyaktuk,69.4541,-133.0374,-7.6,77,90,16.11,CA,1615609068
Ende,-8.8432,121.6623,82.65,84,75,1.23,ID,1615609069
Broome,42.2506,-75.833,30.2,47,1,20.71,US,1615609069
Torbay,47.6666,-52.7314,37.99,87,1,25.32,CA,1615609069
Nipawin,53.3668,-104.0009,30.2,80,1,9.22,CA,1615609069
Vaini,-21.2,-175.2,78.8,83,75,9.22,TO,1615609070
Barrow,71.2906,-156.7887,-20.2,63,1,16.11,US,1615609070
La Providencia,28.7167,-111.5833,55.99,60,0,9.35,MX,1615609070
Bathsheba,13.2167,-59.5167,77.0,69,40,18.41,BB,1615609070
Ola,59.5833,151.2833,9.64,71,4,5.93,RU,1615609071
Port Alfred,-33.5906,26.891,75.99,71,75,3.0,ZA,1615609039
Sobolevo,54.4299,31.8996,27.5,95,100,11.18,RU,1615608915
Salò,45.6086,10.531,44.01,87,4,5.75,IT,1615609071
Neuquén,-38.9516,-68.0591,59.0,82,0,6.85,AR,1615609071
Hermanus,-34.4187,19.2345,62.01,87,23,4.0,ZA,1615609072
Smithers,54.7804,-127.1743,33.8,100,90,2.3,CA,1615609072
Arkhangelsk,64.5401,40.5433,12.2,67,0,8.95,RU,1615609072
Labuan,5.2767,115.2417,80.6,83,40,8.05,MY,1615609072
Kieta,-6.2167,155.6333,85.23,63,66,7.4,PG,1615609073
Richards Bay,-28.783,32.0377,71.83,90,3,9.98,ZA,1615608944
Gobabis,-22.45,18.9667,65.86,67,10,8.59,NA,1615609073
Atuona,-9.8,-139.0333,79.83,58,20,2.17,PF,1615609073
Lavrentiya,65.5833,-171.0,16.43,92,100,21.74,RU,1615609074
São Desidério,-12.3633,-44.9733,69.01,88,42,1.7,BR,1615609074
Bereslavka,48.6254,44.0449,12.2,79,0,11.18,RU,1615609074
Jamestown,42.097,-79.2353,28.99,68,1,12.77,US,1615609074
Gander,48.9682,-54.5906,35.6,80,20,18.41,CA,1615608825
Ifakara,-8.1333,36.6833,68.18,96,53,1.01,TZ,1615609075
Chui,-33.6971,-53.4616,68.63,89,69,4.41,UY,1615609075
Severodvinsk,64.5635,39.8302,12.2,67,0,8.95,RU,1615609075
Namatanai,-3.6667,152.4333,83.97,67,77,6.62,PG,1615609076
Laas,46.6166,10.7002,34.0,68,0,4.61,IT,1615609076
Innisfail,-17.5333,146.0333,83.62,70,23,8.88,AU,1615608895
Paamiut,61.994,-49.6678,8.13,52,20,9.8,GL,1615609076
Arraial do Cabo,-22.9661,-42.0278,76.57,88,53,4.56,BR,1615609010
Punta Arenas,-53.15,-70.9167,48.2,57,40,24.16,CL,1615609046
Cayenne,4.9333,-52.3333,73.4,94,75,3.6,GF,1615609077
Palmer,42.1584,-72.3287,44.6,39,1,23.02,US,1615609077
Bagdarin,54.4333,113.6,28.69,76,100,6.93,RU,1615609077
Peruíbe,-24.32,-46.9983,74.82,94,68,5.08,BR,1615609077
Baiyin,36.5583,104.2081,55.4,19,0,8.95,CN,1615609078
Yar-Sale,66.8333,70.8333,10.04,86,100,19.75,RU,1615609078
Tiznit Province,29.5833,-9.5,57.43,52,97,1.36,MA,1615609078
